Time, Open, High, Low, Close, Volume
1593216000, 0.123170, 0.128390, 0.118010, 0.123000, 10816357.297955
1593302400, 0.122250, 0.124880, 0.115000, 0.123440, 5800895.254298
1593388800, 0.123440, 0.125660, 0.121010, 0.124180, 3045650.709320
1593475200, 0.124180, 0.125560, 0.121740, 0.124420, 3160390.554478
1593561600, 0.124570, 0.124780, 0.122120, 0.123210, 3190445.595234
1593648000, 0.123210, 0.126970, 0.121420, 0.125340, 4567250.940235
1593734400, 0.125670, 0.139000, 0.124880, 0.138100, 8455773.317484
1593820800, 0.138110, 0.164800, 0.138100, 0.158000, 17898435.956696
1593907200, 0.158440, 0.169980, 0.154130, 0.168400, 11820396.649162
1593993600, 0.168350, 0.168570, 0.150000, 0.162990, 11830871.799915
1594080000, 0.162960, 0.164810, 0.158510, 0.162110, 4407154.723324
1594166400, 0.162070, 0.174960, 0.158720, 0.172270, 7117814.957481
